Year,Europe_Temperature
191001,0.81
191002,2.12
191003,0.23
191004,-0.11
191005,-0.31
191006,0.18
191007,-0.98
191008,-0.85
191009,-0.74
191010,-0.52
191011,-0.76
191012,0.86
191101,-0.35
191102,-1.57
191103,-0.60
191104,-0.97
191105,0.22
191106,-0.89
191107,-0.12
191108,0.87
191109,0.30
191110,-0.48
191111,0.54
191112,0.97
191201,-1.48
191202,0.32
191203,1.52
191204,-1.23
191205,-0.93
191206,-0.04
191207,-0.63
191208,-1.40
191209,-2.31
191210,-2.05
191211,-1.25
191212,0.76
191301,-0.22
191302,-0.23
191303,1.01
191304,0.14
191305,-0.65
191306,-0.79
191307,-1.31
191308,-0.82
191309,-0.25
191310,-0.24
191311,1.13
191312,0.24
191401,-1.24
191402,1.47
191403,0.85
191404,0.57
191405,-0.55
191406,-0.52
191407,0.22
191408,-0.49
191409,-0.89
191410,-1.07
191411,-1.43
191412,0.97
191501,0.79
191502,0.25
191503,-1.48
191504,-0.55
191505,-0.50
191506,-0.10
191507,-0.28
191508,-0.97
191509,-1.37
191510,-1.37
191511,-1.52
191512,-0.12
191601,1.48
191602,0.65
191603,0.03
191604,0.01
191605,-0.18
191606,-0.65
191607,-0.32
191608,-0.89
191609,-1.27
191610,-0.59
191611,0.58
191612,0.78
191701,-0.84
191702,-2.63
191703,-2.28
191704,-1.51
191705,-0.51
191706,0.85
191707,-0.41
191708,0.27
191709,0.13
191710,-0.37
191711,0.30
191712,-1.90
191801,-0.22
191802,0.37
191803,-0.25
191804,0.45
191805,-0.34
191806,-1.34
191807,-0.51
191808,-0.58
191809,0.27
191810,0.41
191811,-0.15
191812,0.56
191901,0.99
191902,-0.42
191903,-0.49
191904,-0.71
191905,-1.34
191906,-0.29
191907,-1.08
191908,-0.82
191909,0.47
191910,-1.07
191911,-2.21
191912,-0.84
192001,0.66
192002,0.52
192003,1.62
192004,1.54
192005,1.18
192006,-0.35
192007,0.26
192008,-0.50
192009,-0.17
192010,-1.65
192011,-1.74
192012,-0.64
192101,1.79
192102,-0.45
192103,1.12
192104,0.48
192105,1.14
192106,-0.55
192107,-0.01
192108,0.02
192109,-0.58
192110,0.32
192111,-2.02
192112,-0.66
192201,-1.06
192202,-0.74
192203,0.23
192204,-0.87
192205,0.39
192206,0.07
192207,-0.30
192208,-0.54
192209,-1.18
192210,-1.39
192211,-1.07
192212,-0.32
192301,1.14
192302,-0.52
192303,0.55
192304,-1.16
192305,-0.04
192306,-2.14
192307,-0.03
192308,-0.87
192309,-0.19
192310,0.97
192311,0.56
192312,-0.37
192401,-1.34
192402,-1.69
192403,-1.14
192404,-0.99
192405,0.59
192406,0.04
192407,-0.40
192408,-0.73
192409,0.69
192410,0.37
192411,-0.33
192412,0.10
192501,1.67
192502,2.32
192503,-0.73
192504,0.08
192505,0.28
192506,-0.86
192507,0.05
192508,-0.27
192509,-0.97
192510,-0.64
192511,-0.80
192512,-1.15
192601,-0.09
192602,1.15
192603,-0.07
192604,0.48
192605,-0.72
192606,-0.68
192607,-0.31
192608,-0.86
192609,0.02
192610,-0.42
192611,1.95
192612,-0.46
192701,0.38
192702,-0.50
192703,1.22
192704,-0.24
192705,-0.79
192706,-0.05
192707,0.55
192708,0.44
192709,0.25
192710,-0.04
192711,-0.61
192712,-2.28
192801,0.31
192802,-0.09
192803,-1.20
192804,0.12
192805,-1.18
192806,-1.19
192807,0.32
192808,-0.27
192809,-0.02
192810,-0.39
192811,1.18
192812,-0.53
192901,-2.04
192902,-5.28
192903,-1.51
192904,-2.55
192905,0.41
192906,-0.75
192907,-0.56
192908,0.31
192909,0.20
192910,0.69
192911,1.18
192912,1.76
193001,2.04
193002,0.12
193003,0.87
193004,0.53
193005,-0.14
193006,0.53
193007,-0.16
193008,0.09
193009,-0.21
193010,0.33
193011,1.08
193012,0.16
193101,0.14
193102,-0.78
193103,-1.34
193104,-1.36
193105,0.76
193106,0.10
193107,0.27
193108,-0.55
193109,-1.85
193110,-0.78
193111,-0.09
193112,-0.91
193201,1.19
193202,-2.09
193203,-2.05
193204,-0.67
193205,-0.15
193206,-0.76
193207,0.17
193208,0.61
193209,1.02
193210,0.59
193211,0.15
193212,1.13
193301,-0.93
193302,-0.26
193303,-0.05
193304,-1.10
193305,-0.82
193306,-0.92
193307,0.07
193308,-0.10
193309,-0.33
193310,0.23
193311,-0.34
193312,-2.74
193401,0.44
193402,0.13
193403,0.84
193404,0.91
193405,1.04
193406,0.00
193407,0.55
193408,0.01
193409,1.17
193410,0.84
193411,0.73
193412,1.51
193501,-1.00
193502,0.54
193503,-0.56
193504,-0.19
193505,-1.25
193506,0.75
193507,-0.21
193508,-0.16
193509,0.23
193510,0.87
193511,0.17
193512,0.86
193601,2.55
193602,-0.22
193603,1.04
193604,-0.11
193605,0.16
193606,0.28
193607,0.80
193608,-0.08
193609,-0.46
193610,-1.60
193611,0.34
193612,0.77
193701,-0.51
193702,0.66
193703,0.40
193704,0.48
193705,1.32
193706,0.73
193707,0.63
193708,0.87
193709,0.95
193710,0.63
193711,0.52
193712,-0.34
193801,0.52
193802,0.91
193803,1.65
193804,-0.95
193805,-0.92
193806,0.39
193807,0.71
193808,0.95
193809,0.46
193810,0.97
193811,1.91
193812,-0.39
193901,1.59
193902,1.80
193903,-0.88
193904,0.42
193905,-0.70
193906,0.15
193907,0.15
193908,0.71
193909,-0.11
193910,-0.78
193911,0.46
193912,-0.88
194001,-3.82
194002,-2.47
194003,-1.82
194004,-0.49
194005,-0.49
194006,-0.02
194007,-0.43
194008,-1.00
194009,-0.42
194010,-0.52
194011,0.94
194012,-1.96
194101,-2.49
194102,0.12
194103,-0.65
194104,-1.07
194105,-1.78
194106,-0.60
194107,0.33
194108,-0.83
194109,-1.25
194110,-1.19
194111,-1.75
194112,-1.62
194201,-4.84
194202,-2.87
194203,-2.39
194204,-0.65
194205,-0.27
194206,-0.20
194207,-0.47
194208,0.24
194209,0.64
194210,0.58
194211,-0.84
194212,0.28
194301,-1.00
194302,1.30
194303,0.60
194304,0.80
194305,-0.12
194306,-0.12
194307,-0.27
194308,0.53
194309,0.54
194310,1.13
194311,0.34
194312,0.68
194401,1.32
194402,0.18
194403,-0.72
194404,-0.17
194405,-0.76
194406,-0.50
194407,0.01
194408,0.74
194409,0.09
194410,0.51
194411,0.12
194412,-0.06
194501,-1.82
194502,0.79
194503,0.24
194504,0.50
194505,0.50
194506,0.42
194507,0.67
194508,0.29
194509,0.20
194510,-0.32
194511,-0.16
194512,-0.55
194601,-0.41
194602,0.37
194603,-0.03
194604,1.00
194605,0.56
194606,0.40
194607,0.72
194608,0.67
194609,1.12
194610,-1.37
194611,0.06
194612,-0.81
194701,-2.14
194702,-2.98
194703,-0.19
194704,0.92
194705,0.75
194706,1.24
194707,0.99
194708,0.64
194709,1.10
194710,-0.66
194711,0.52
194712,0.66
194801,1.87
194802,0.25
194803,0.63
194804,0.96
194805,0.66
194806,0.02
194807,-0.67
194808,-0.12
194809,-0.01
194810,-0.04
194811,-0.15
194812,-0.39
194901,1.32
194902,0.88
194903,-1.04
194904,0.55
194905,0.47
194906,-0.59
194907,-0.10
194908,-0.43
194909,1.10
194910,0.65
194911,1.24
194912,1.43
195001,-2.27
195002,0.86
195003,0.78
195004,1.18
195005,0.66
195006,0.64
195007,0.41
195008,0.28
195009,0.44
195010,-0.26
195011,0.40
195012,0.20
195101,0.37
195102,0.65
195103,-0.28
195104,0.51
195105,-0.83
195106,-0.11
195107,-0.28
195108,0.71
195109,0.90
195110,-0.93
195111,0.93
195112,0.81
195201,0.81
195202,0.23
195203,-1.76
195204,1.25
195205,-0.55
195206,-0.11
195207,0.33
195208,0.63
195209,-0.69
195210,-0.27
195211,-0.80
195212,-0.29
195301,-0.01
195302,-0.72
195303,0.06
195304,0.60
195305,0.19
195306,0.83
195307,0.49
195308,0.13
195309,0.11
195310,0.92
195311,-0.49
195312,0.45
195401,-2.37
195402,-3.49
195403,0.47
195404,-1.32
195405,0.13
195406,0.82
195407,-0.46
195408,-0.09
195409,0.58
195410,0.26
195411,0.30
195412,1.81
195501,0.95
195502,0.21
195503,-1.32
195504,-1.09
195505,-0.71
195506,-0.55
195507,0.30
195508,0.38
195509,0.73
195510,0.51
195511,-0.32
195512,0.04
195601,0.43
195602,-5.10
195603,-1.50
195604,-1.06
195605,-0.35
195606,-0.28
195607,-0.65
195608,-0.82
195609,-0.43
195610,-0.49
195611,-2.35
195612,-0.29
195701,0.04
195702,2.24
195703,0.58
195704,0.30
195705,-1.10
195706,0.26
195707,0.52
195708,-0.09
195709,-0.16
195710,0.20
195711,0.44
195712,-0.31
195801,-0.01
195802,1.09
195803,-2.01
195804,-1.42
195805,0.93
195806,-0.72
195807,-0.38
195808,0.06
195809,0.35
195810,0.48
195811,0.72
195812,0.58
195901,0.71
195902,0.26
195903,1.60
195904,0.63
195905,0.12
195906,0.13
195907,1.17
195908,0.37
195909,-0.81
195910,-0.58
195911,-0.18
195912,0.48
196001,-0.08
196002,-0.36
196003,0.06
196004,-0.01
196005,0.51
196006,0.82
196007,-0.25
196008,-0.20
196009,-0.56
196010,0.21
196011,1.20
196012,1.71
196101,0.15
196102,2.26
196103,1.78
196104,1.48
196105,-0.16
196106,0.99
196107,-0.46
196108,-0.25
196109,0.75
196110,1.36
196111,0.77
196112,-0.39
196201,1.34
196202,0.13
196203,-1.86
196204,0.65
196205,-0.52
196206,-0.79
196207,-0.97
196208,0.02
196209,-0.13
196210,0.74
196211,0.74
196212,-1.62
196301,-3.13
196302,-2.27
196303,-1.93
196304,-0.01
196305,0.61
196306,0.08
196307,0.39
196308,0.38
196309,0.72
196310,0.35
196311,1.63
196312,-1.68
196401,-1.01
196402,-0.65
196403,-1.36
196404,0.14
196405,0.24
196406,1.09
196407,0.00
196408,-0.79
196409,0.01
196410,0.20
196411,0.34
196412,0.21
196501,0.63
196502,-1.71
196503,-0.47
196504,-0.81
196505,-0.99
196506,0.18
196507,-1.02
196508,-1.04
196509,0.11
196510,-0.32
196511,-1.48
196512,0.31
196601,-0.83
196602,1.19
196603,0.03
196604,0.54
196605,0.20
196606,0.53
196607,-0.11
196608,-0.25
196609,-0.24
196610,1.49
196611,0.22
196612,0.38
196701,-1.22
196702,0.30
196703,1.26
196704,-0.16
196705,0.21
196706,-0.59
196707,0.27
196708,0.28
196709,0.73
196710,1.54
196711,1.03
196712,-1.14
196801,-1.64
196802,0.24
196803,0.35
196804,1.13
196805,0.10
196806,0.55
196807,-0.61
196808,-0.56
196809,0.05
196810,0.05
196811,0.25
196812,-0.44
196901,-1.03
196902,-1.66
196903,-1.56
196904,-0.61
196905,0.43
196906,-0.10
196907,-0.27
196908,0.22
196909,-0.08
196910,0.41
196911,0.64
196912,-2.04
197001,-0.35
197002,-1.05
197003,-0.41
197004,-0.28
197005,-0.40
197006,0.77
197007,-0.06
197008,-0.16
197009,-0.06
197010,-0.51
197011,0.77
197012,-0.07
197101,0.88
197102,0.62
197103,-1.51
197104,-0.08
197105,0.70
197106,-0.58
197107,-0.07
197108,0.44
197109,-0.54
197110,-0.20
197111,-0.67
197112,1.01
197201,-1.58
197202,0.53
197203,0.76
197204,0.58
197205,-0.25
197206,0.29
197207,0.76
197208,-0.09
197209,-1.16
197210,-0.81
197211,0.17
197212,0.89
197301,0.57
197302,1.34
197303,0.42
197304,-0.45
197305,0.30
197306,0.23
197307,0.39
197308,0.05
197309,-0.10
197310,-0.80
197311,-1.38
197312,-1.06
197401,1.10
197402,2.21
197403,1.38
197404,-0.41
197405,-0.76
197406,-0.40
197407,-0.76
197408,0.07
197409,0.21
197410,-0.67
197411,0.21
197412,1.67
197501,2.49
197502,1.19
197503,1.22
197504,0.38
197505,0.58
197506,-0.14
197507,0.32
197508,0.55
197509,1.15
197510,-0.13
197511,-0.49
197512,-0.05
197601,-0.30
197602,-0.88
197603,-1.35
197604,-0.14
197605,-0.11
197606,-0.14
197607,0.02
197608,-0.83
197609,-0.97
197610,-0.61
197611,0.23
197612,-0.36
197701,-0.08
197702,1.68
197703,1.54
197704,-0.57
197705,-0.23
197706,-0.37
197707,-0.81
197708,-0.79
197709,-1.07
197710,0.03
197711,0.99
197712,-0.21
197801,0.33
197802,-0.52
197803,0.93
197804,-0.73
197805,-0.79
197806,-0.67
197807,-1.04
197808,-1.04
197809,-0.80
197810,0.08
197811,-0.07
197812,-1.33
197901,-1.36
197902,-0.42
197903,0.77
197904,-0.75
197905,0.33
197906,1.08
197907,-1.07
197908,-0.29
197909,0.14
197910,-0.57
197911,0.03
197912,1.22
198001,-1.58
198002,0.16
198003,-1.09
198004,-0.59
198005,-1.29
198006,0.01
198007,-0.66
198008,-0.18
198009,0.06
198010,-0.12
198011,-0.92
198012,-0.24
198101,-0.03
198102,0.17
198103,0.89
198104,-0.43
198105,-0.09
198106,0.29
198107,-0.32
198108,-0.31
198109,0.43
198110,0.76
198111,-0.23
198112,-0.69
198201,-0.64
198202,-0.19
198203,0.47
198204,-0.40
198205,0.15
198206,-0.07
198207,0.09
198208,0.15
198209,1.11
198210,0.32
198211,0.64
198212,1.38
198301,2.28
198302,-0.48
198303,0.86
198304,1.12
198305,0.69
198306,-0.02
198307,0.93
198308,-0.02
198309,0.57
198310,0.19
198311,-0.56
198312,0.06
198401,1.19
198402,0.37
198403,-0.67
198404,0.16
198405,0.02
198406,-0.68
198407,-0.78
198408,-0.48
198409,-0.01
198410,1.01
198411,0.35
198412,0.09
198501,-3.01
198502,-3.64
198503,-0.84
198504,-0.02
198505,0.42
198506,-0.55
198507,-0.19
198508,0.33
198509,-0.01
198510,0.24
198511,-1.15
198512,0.28
198601,0.23
198602,-2.79
198603,0.20
198604,0.11
198605,0.80
198606,0.54
198607,-0.08
198608,0.11
198609,-0.63
198610,0.31
198611,0.45
198612,-0.71
198701,-3.77
198702,-0.01
198703,-2.99
198704,-0.24
198705,-0.87
198706,-0.40
198707,0.15
198708,-0.95
198709,0.72
198710,0.38
198711,0.13
198712,0.30
198801,2.04
198802,1.09
198803,-0.19
198804,-0.14
198805,0.79
198806,0.33
198807,1.00
198808,0.32
198809,0.30
198810,0.05
198811,-2.13
198812,0.11
198901,1.89
198902,2.69
198903,2.79
198904,1.41
198905,0.86
198906,0.28
198907,0.55
198908,0.58
198909,0.49
198910,0.67
198911,-0.12
198912,0.61
199001,1.27
199002,4.11
199003,2.81
199004,0.69
199005,0.84
199006,0.20
199007,0.13
199008,0.67
199009,-0.51
199010,0.86
199011,0.75
199012,0.56
199101,1.37
199102,-1.19
199103,1.45
199104,0.09
199105,-1.46
199106,-0.43
199107,0.81
199108,0.89
199109,0.70
199110,0.12
199111,0.42
199112,-0.27
199201,1.05
199202,1.22
199203,1.18
199204,-0.12
199205,0.58
199206,0.61
199207,0.22
199208,1.49
199209,0.05
199210,-1.27
199211,0.07
199212,0.30
199301,1.52
199302,0.28
199303,0.04
199304,0.48
199305,1.23
199306,-0.14
199307,-0.54
199308,-0.14
199309,-0.95
199310,-0.22
199311,-2.53
199312,0.99
199401,2.06
199402,-0.50
199403,1.46
199404,1.04
199405,0.17
199406,-0.04
199407,1.78
199408,1.14
199409,1.18
199410,0.12
199411,0.81
199412,1.00
199501,1.08
199502,3.39
199503,1.11
199504,0.40
199505,0.12
199506,0.69
199507,0.96
199508,0.83
199509,-0.18
199510,1.38
199511,-1.06
199512,-1.25
199601,-0.05
199602,-1.38
199603,-1.33
199604,0.18
199605,0.50
199606,0.43
199607,-0.34
199608,0.71
199609,-1.36
199610,0.40
199611,1.17
199612,-0.74
199701,0.14
199702,1.84
199703,1.07
199704,-1.07
199705,0.46
199706,0.68
199707,0.32
199708,1.32
199709,0.08
199710,-0.30
199711,0.47
199712,0.71
199801,2.18
199802,2.19
199803,0.33
199804,0.98
199805,0.63
199806,1.03
199807,0.39
199808,0.47
199809,0.34
199810,0.45
199811,-1.37
199812,-0.41
199901,1.56
199902,0.64
199903,1.54
199904,1.53
199905,0.47
199906,1.41
199907,1.48
199908,0.71
199909,1.83
199910,0.89
199911,0.07
199912,0.79
200001,0.53
200002,2.21
200003,1.05
200004,2.06
200005,1.47
200006,0.85
200007,0.08
200008,0.94
200009,0.26
200010,1.51
200011,2.12
200012,2.08
200101,2.39
200102,1.28
200103,1.51
200104,0.75
200105,0.79
200106,0.20
200107,1.57
200108,1.50
200109,0.19
200110,2.12
200111,-0.17
200112,-1.64
200201,0.92
200202,3.62
200203,2.18
200204,0.95
200205,1.45
200206,1.53
200207,1.46
200208,1.42
200209,0.42
200210,-0.09
200211,0.83
200212,-1.45
200301,0.09
200302,-0.82
200303,0.83
200304,0.11
200305,2.00
200306,1.95
200307,1.79
200308,2.27
200309,0.64
200310,-0.52
200311,1.39
200312,1.05
200401,0.30
200402,1.25
200403,1.11
200404,0.98
200405,-0.14
200406,0.34
200407,0.39
200408,1.19
200409,0.77
200410,1.33
200411,0.45
200412,1.09
200501,2.18
200502,-0.40
200503,-0.48
200504,1.09
200505,0.81
200506,0.69
200507,1.29
200508,0.54
200509,1.22
200510,1.27
200511,0.61
200512,0.55
200601,-0.66
200602,-0.42
200603,-0.75
200604,1.03
200605,0.88
200606,1.30
200607,2.19
200608,1.11
200609,1.92
200610,2.01
200611,1.66
200612,2.56
200701,3.32
200702,1.38
200703,2.60
200704,1.58
200705,1.81
200706,1.77
200707,0.99
200708,1.26
200709,0.14
200710,0.91
200711,-0.20
200712,0.99
200801,2.04
200802,2.69
200803,1.72
200804,1.39
200805,0.94
200806,1.28
200807,0.89
200808,1.09
200809,-0.03
200810,1.08
200811,1.03
200812,1.14
200901,0.52
200902,0.87
200903,0.88
200904,1.68
200905,1.19
200906,0.85
200907,1.16
200908,1.22
200909,1.27
200910,0.56
200911,2.05
200912,0.53
201001,-1.08
201002,0.14
201003,0.68
201004,1.23
201005,0.79
201006,1.05
201007,2.36
201008,1.71
201009,0.57
201010,-0.26
201011,1.26
201012,-1.37
201101,1.02
201102,-0.30
201103,0.97
201104,2.12
201105,1.17
201106,1.53
201107,0.99
201108,1.20
201109,1.93
201110,0.83
201111,0.77
201112,2.37
201201,1.27
201202,-2.19
201203,1.64
201204,1.09
201205,1.53
201206,1.28
201207,1.50
201208,1.59
201209,1.22
201210,1.21
201211,1.95
201212,-0.38
201301,0.89
201302,1.34
201303,-1.02
201304,0.87
201305,1.47
201306,1.26
201307,1.29
201308,1.47
201309,0.51
201310,1.31
201311,1.70
201312,1.43
201401,1.76
201402,3.19
201403,3.10
201404,2.08
201405,1.02
201406,0.75
201407,1.88
201408,1.20
201409,1.49
201410,1.61
201411,1.64
201412,1.66
201501,2.16
201502,1.97
201503,2.18
201504,1.11
201505,1.02
201506,0.67
201507,1.56
201508,1.87
201509,1.78
201510,0.65
201511,2.45
201512,3.12
201601,0.60
201602,3.71
201603,1.88
201604,1.89
201605,1.33
201606,1.73
201607,1.59
201608,1.39
201609,2.08
201610,0.41
201611,0.34
201612,0.83
201701,-0.07
201702,1.95
201703,2.88
201704,0.64
201705,1.00
201706,1.82
201707,1.16
201708,1.82
201709,1.10
201710,1.34
201711,1.04
201712,1.91
201801,2.63
201802,0.17
201803,-0.11
201804,3.00
201805,2.90
201806,1.89
201807,2.46
201808,2.48
201809,2.09
201810,1.87
201811,1.44
201812,1.59
201901,0.85
201902,2.96
201903,2.33
201904,1.55
201905,0.55
201906,2.92
201907,1.21
201908,1.89
201909,1.28
201910,1.86
201911,1.76
201912,2.75
202001,3.25
202002,3.85
202003,2.52
202004,1.48
202005,0.45
202006,1.95
202007,1.17
202008,2.04
202009,2.35
202010,2.18
202011,2.15
202012,2.46
202101,1.51
202102,1.64
202103,1.28
202104,0.32
202105,0.41
202106,2.37
202107,2.38
202108,1.10
202109,0.93
202110,0.94
202111,1.31
202112,0.85
202201,2.03
202202,3.12
202203,1.13
202204,0.80
202205,1.43
202206,2.54
202207,1.87
202208,2.87
202209,0.82
202210,2.63
202211,2.12
